sentence,sentiment
add    karo ji hamre b koi              jo.add karega salman khan usi.ko.msg karega,1
Plz bhai aa jao,1
Bhai plz aao jaldi,1
Very very niece tailor,2
It's 4.3 pm,1
"Bhai tum tention mat lo apke real fans jo pata ye ghatia harqat kisi aur ki hai , we have faith on u bhaiiii...??",2
ab  himmat nai hai re baba jaldi reply krna shuru karo,1
Sher kabhi darta nahi aur mera bhai sher hai love you bhai jaan,2
"oh great,,..har din apko dekh ke nai urja milta hai.ap jio hajoro sal sir ji or india ko biswa bijai banao..",2
fir bye kyo,1
Salman bhai ka sirf naam hi kafi hai film apen Aap blockbuster ho jati hai,2
Kuch kahiye salman sir,1
To kya chayiye apko,1
300crore aram se kama legi,2
Meri bhai jaan salman khan ilove you,2
na tum mujhse pyar karte the aur na hi ab karte ho sadi to karna hi nahi chahte isliye na phone karte ho aur na hi milte ho jhute makkar dhokhebaj ho tum,0
Unstoppable modi sir,2
kha ho tum bhaijan,1
kaha ho....aap salman,1
Sir bajrangi bhai jaan may Ali quli mirza aur Najeem khan hai,1
Nich musalman kis ko bola pehle apne aap ko dekh tu aaj jaha par hai un musamano ki vajah se hai. Samga.hamko dhamki deta hai kon dekhna chahega ye sadi movie,0
are op logo bap hai bel hai,1
tym ho gya 4pm ho gaye where ru???,1
Sojaa yrr boor mtkr Alia Khan,1
Kaha ho tum,1
salman ji aapse apni life me ek baar jaru milna chate hai..... aapse baat karna chate hai..... jo aap logo ki help karte ho uske liye thank yu so much....... aapko meri bhi umar lag jaye,2
Jai hind shar,2
ye  l0... server d0wn,0
is kutte ki filam dekhne koi bhi schha muslim nhi jayega,0
h0w are y0u my freind kese h0.,1
sir apne rastriya rojgar youjana me sms job ke liye news paper me add dya he kya???,1
commitmnt kr k bhul gye kya??,2
as salam walekum salman g apke sab fan ko pata h k aal kavi v kisiko hrt nhi kar sakte ho allah se dua h k apko hr musibat se bachae or buri najar se v,2
aj ki paty bhai ki tarafse,1
Plz salman sir,1
ha bhai plzzz sab se pehle mere sath,1
Hum aapko ek jhalk dekhne ke liy a tarap rahe hai,2
ab iftari bad hi karna agar chat karna hai to...,2
4 baj gye salman sir,1
Bhai firki to nahi le rahe ho 4 baje mat kehna 4:30 baje please,1
bhai kb dhamakedaar entry marogeee.......i m waiting 4 uuuuuuu,2
sir massage kahan se karna hai sir massage kahan se karna hai sir massage kahan se karna hai sir massage kahan se karna hai sir massage kahan se karna hai,1
Har har modi ghar ghar modi all world modi ji gud work sir ji,2
agr tom na hoty to bollywood ka maza bi na hota haha,2
Kal dekhna na bhule,1
Pahle 3:30 phir 4:00 and ab 15 min over bhai,1
hamara bhi kartavya hai clean bharat karana,2
Sir apse milna hi h mujhe kaise bhi karke mujhe bht tklif hoti h sir schme ab or nahi saha jata agr aap samjh skte ho to please mujhe jarur milna h...apki fan Geeta Rawat....,1
Bas ek mnt hai,1
Mile jab the hum tum yaad hai yaa bhul gye,1
bhaiyo ke bhai,2
& Being human k jariye aap itne saare logo ki madat kar rahe,1
4 pm to kabka baj gai ...pr aap ho kaha Bajrangi Bhai jaan,1
salman sir aap kyo nai aiye online,2
"welcome *""*'*'*'*'*'*bajrangibhai jaan*'*'*'*'*'*'*""*'*'*superhit movie*""*""*""*'*'*'*:welcome fance party*""*'-'*'-'*'*""*'*superr*'*'*'*'*'*'*'*:*duper*""*'*'*'*'*'*best*'*'*'*'*'*'*'*'*""*:very nice*""*'*'*:*'*bajarangi bhai *""*'*'*""*'*'*'*bajarangi bhai *'*""*""*""*'*'*'*'*bajarangi bhai*""*""*'*'*':'*:*'*hit*'*""*'*'*:hit*'*""*'*'*'*'*'*'*hit*'*'*""*'*'*'*super actor&actress*""*'*'bajrangibhai*""*'*'kareena *'*'*'*'*best *""*""*""*'*'*""*'*watch movie later-id-ul-fittar*""*'*'*'with*""*""*'*'*sallu*""*""*'*'*':'kareena *""*'*'*'*'*bajarangi bhai jaan *""*""*'*'*superstar*""*'*'*'::",2
Sallo bhai roze kase hy,1
Kab aye ki kab gaye ki,1
Shayad bhaijaan aap busy ho koi baat nahi khuda Hafiz iftaari ki tayyari karni hai Allah Hafiz bhai,1
c0mment scroll kar kar ke hairan hogaye hum,1
Mujhe aap se ye umid nahi thi bhai,1
Lage raho sir.,2
gGuyssss meri profile picture kesi leg rahi hai..???,1
sonya khan ek hijda musalmaan hai isey apna gender ni pata,0
Chalo zayada smile karne Ki zarurat nhi hai,1
Bhai tym ho gya...,1
bhai sahab aayenge,1
Bhai... Aap ki original voice nhi hai..,0
Bahut sundar. Hardik subhkamnaye,2
agar kar sakte ho to ye kar ke dikhao,1
Salman bhai boleto rock star,2
yes actully its 4.06 ..,1
Helo salman bhai jaan.,2
bhai ap muslim bina kesi hit karoge ye films. .,0
:o :o :o,1
kahi aisa to nhi bhai ki aap hume direct ye news doge ki aapki shadi bhot saal pehle ho chuki he n wo apne top secret rakha hai???,1
itne sare logo me se humse kaise baat karoge?? :-(,2
Bahot accha hai,2
Bhai aapki movie hum hit karenge koi kare ya nare,2
lv u salmn,2
apko bhi mubarak,2
"Hiiiii, kya yeh dream hai?",1
4 baj gaye lekin party abhi baki h...,1
"love yu bhai jaan,,,,,I like yu,,,,,I love yu bhai jaan,,,,,,nice song so sweet handsome parsnalti",2
"Han masjid main, ajana tum sab bhi....",1
"Bhar do jholi meri ya Muhammad mujhe Salman bhai se milado,",2
ALLAH aap ko har taraf se kameyabi de,2
Ab to aa jao jnab ...plz aajo,1
abe majid se chapal chori nahi hoti jise jarurt hoti he wo lekar jata he,1
hy sir kese ho aap ?,1
4 baj chuke hai salman,1
salman sir aap bohut piyaare ho mashallah,2
Bhai Goli de rahe ho chotey bhai ko,1
"Hello ""BAJRANGI BHAIJAAN""",1
Yar ji karrha h,1
kasiy bt kary gy salu sb?,1
Abhi kiu nahi salman,1
Ap sache wale being human ho bus apki yahi bt sabse Alag h...ap Surat se kuch Jada smart nhi PR dil se ess pure Bollywood m sundar ho....saf pakk dil h apke pass Jo etni dou,2
Neeta tum ek kaam karo salman se shadi karlo,1
Bhai 4.10 hua jaldi aao na,1
teri picture dekhne jao nah maja a aajaatah hai such iiiiiiii,2
ye to bajrangbli ka kutta h ye h musalman nhi tum kaafir ko pasand krte ho mujhe nafrat h aise logo se.....,0
Pm ky sath videsh mantri bhi h modi,1
Isi bahane promote bhi kar lo,1
modiji hamari ek gujaris hain ke hum ek sangsthan khulna chahati hain ke nij nij elakaomain sari lokoko help karna or iske liye help ki proyjon hain......,1
Bhai majak tha kya? ;),1
aj ki party bhaijaan ki taraf se.,1
modiji....humane apko wot diya lekin muze ab lag raha he ki me rong tha,0
Bhaijaan abhi tho 5 baje h Aap jab free ho tab aa jana m tho puri rat Intzar Kar sakta hu... iam big fan,2
Kamal krte ho pandey ji kha ho aap,1
Sir aap itna hi kah diye to kafi hai ...:-),1
hindu Muslim ke naam pe paisa kama raha hai salman khan.. shame..,0
Love love love,2
"sir pls ek reply de do....main to ish khushi se hi pagal ho jaunga....pls sir,pls..i beg to you.",1
Salman sir bahot acchi movie hai super hit blockbuster movie.,2
Agr ap aur thodi der mein nhi aye toh sab pagal ho jye ge jaldi ayu....,1
M aapko mis kar rha bhaiya kab aayega big boss plz reply karna,1
friends tum sab salman khan ku thaknah chati hu. ...???,1
Salman sir kahan.....h aap .aap to humse baat karne wale thai na,2
desh gourav badha rahe ho ayushman bhav,2
Bhai apse ek sawal aapne aaj tk apki ek bhi movie me apka real name kyu nii rakhe,1
sir desh wasiyo ke liye kuch karne ka irada h ya phir is air india me hi gumte rahoge,0
hamay tu muqa bh nahi mila,2
Salman ji sirf mera hai .....hai naa salman aur oss k lye main kuch b kar sakte ......,2
mere bhai jaan nhi ho ap mere to super star ho ap,2
sir plz london aajoa plz,1
Bhai aao na fir,1
sone do ...aajayenge apne aap,1
very good bhai mujy thori bohat samj lg rhi hai,1
Unke namkaran ke time sab jan the kya sallu sallu what????,1
Apna desh chlane ke liye bola apni myiya chuda rhe ho ghum ghum ke..,0
yeeeee bhai aaaa gaye,1
English ki maa behen ho gayi Bhai :v,0
aise nahi bolte sar ko....,0
Aaj har nagarik ke man main ek hi chahat hai ki narendra modi kuch karenge.aaj haar yuba,2
bhai tumhare bare me jyada nahi sochte tum dil me aate ho 4pm fb nahi...,1
Sallu bhai mera tharafse ramzan mubarak ho,1
Ek the tiger bhi super hit hua Yarr sallu Bhai lekin there naam ka kia look ta app ka sallu Bhai ekdam radhe,1
Aadarniy pm ji aapke pas feuchar plan bahuthi aachha hai aapko salam.,2
aaj ki party #Bhai ki taraf se.,1
kya hua...bhaijaan....,1
Ek ch bhai salman bhai,2
Modi ji grat,2
kamaal karte ho Q intzar kra rhe ho,2
tere se kaun baat karna chahata hai be jo khud musalman ho kar musalmano ki izzat nahi karta,0
hum intazar karenge,1
Addd mee frnds,1
Salman khan sir tayyar ha aaj ke party ke liye,2
Bohat achi ha ap thek hai ramazan k se gura ha,2
gud ni8 bhai,1
Aaja sham hone aayi .mousam ne li angdai.,1
Hallo salman vaiya ....,1
Really aap aaye kya.....i can't beleive....,1
very very very very very very very very very very very very very very very very niceeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee and i loveeeeeeeeeeeeeeeeeeeeeeeeee uuuuuuuuuuuuuuuuuuuuuu bhai jaan,2
Sir kya mujh gareeb ko aik reply melay ga plz ....?,1
Bhai. Shahid ki shaadi mein nai gaye. ? ??,1
Muje call karo bhai jan,1
nr 1 salman,2
theek hai mujhe to lagta hai main ye film dekh chuuka hu sabhi loog iss film ko apne aap se relate karenge,1
chal beta selfi le le.......hi.bhaijaan,1
I know bhaI jaan ka hamesha ki tarha net khrab ho geya hai,1
Nice pic abdul rashid saleem (salman khan),2
Watching bajrangi bhaijaan,1
Salman khan sab sy best,2
Bhai fadu hai,2
bhai aap tou best he bajrangi bhaijaan ATBB hogi ;),2
Aap ka bajrangi baijaan main aap ka naam kya hai,1
5000comment in 5minute,1
Bhai plz dont drink alkhol plz plz plz plz,0
"4 baj gaye sir .,.,.,.come plz ,.,.,.,.",1
Bahut galat kiya aapne salman bhiya muslimo k khilaf gye h ap,0
bhai Mujhe Apna twitter account password de doo pls :p :p :p :p :p :p,1
bhai aa jao nahi to katrina ko bol dunga;-) ;-) ;-) ;-) ;-),1
maine kya galti ki hai mujhe kis bat ki sja de rahe ho tum,0
by by nhi aane wale salman,1
Ya allah ap abhi tak nahi aye salman :(,1
No.diziye whatsupp ka photo bej dete hai,1
Chup chootiya jaakay shahrukh ka signature style perform kar shahrukh k tattay,0
Kaha kaisy? M karna chati ho aapsy bohot sara baat,1
blockbaster movie bajrangi bhaijaan...,2
app kaha hoo please aa jao na,2
Sallu Bhai maza aa gya,2
Ham log apane aap ko bhagy sali samajte hai ki desh ko aap jaise PM mile jay hind,2
Salman ab hindu bangya he bhayoo koi movie dhkhne nhi jaaye,0
aap Kavi hamare orissa me to aao,1
India me student pe atyachaar karra hai result nahi dikhaijara hai aur yaha ye inke aankho me dhul jhokra hai,0
Salman ap ko aur ap ki famliy ko meri taraf se id mubarak,2
Ek Salman hazaaron mehaman...hahahahahah ....sabka haal ek jaisa bolo kya hoga???,2
mujhe to pata hi nahi raha bat ho bhi rahi hai sorry jaa rahi hu bye,1
UP me kuchh kro nhe to 2017 meBSP aa jayeg,0
4 baj gye lekin salman hJi kha h..,1
# 4 baje ge aaaj party abhi baki.wow,1
Sale ne muslmano ko chalenge kiya ki tumhare bina hit karunga,0
Ami tomar sathe kotha bolte chai Bhaijaan.,1
Salman bhai loves us....so dnt be disappointed. ...ek din bhai se milne ka mauka sab ko milega...,2
Love u salman bhai ...apki movie aaj tak ke saare record tod de ye bhagwan se prarthana,2
Hy salman bhai,1
bhai is kutte ki film mat dekho kyu apna paisa haram jagah le jaa rahe ho,0
salman khan aap pakistan aa rahan par kon se city aya ga plz plz humko bhi aapse milena han plz plz batyan na,1
Bhai don't worry,1
Or me bhi indian hu kon hota he ye jo musalman ko gali de or khud ko musalman kehta he jaheel,0
Love u jend actor wo jo har lock mein sweet beautiful guineas hot sohran lagey osy khtey hain.,2
Love youui bhaiiiii,2
Modi ji apne kaha tha ki assam se sab bangladesi jald hi jayenge. Par apne to unko dawat pe bulawa diya . Jo naukile kata tar se assam ata he uske liye to apne volvo bus bhej diye. Apse hamko ye ummid nehi thi.,0
Yessss my cuteee salman,2
salman kaha good. film bajrahgi bhaijaan oldbasyt walkam,2
mahan bibhutiyo ko naman karna sacchi dhridhata ka sabse anmol marg hai .aapko sadar naman,2
Salman khan bolliwood ki shan banchuka back to back blockbuster superhit movi name dabbang. Redy. Bodyguard. Ek tha tiger . Dabbang2. Jai ho. Kick. Bajarangi bahizan superhit jayagi 300 fix,2
Modi Ji Kay sare kam acche hay par ek kaam bura hay inko aapan ne jitaya election hay ya World Tour package Purana PM to silent mode or naye PM flight mode hamare desh ki to kismat hi kharab hay,0
Yaar sallu bhai accche bande h to sala sab inke naam ko kharab karne me lage pade h,2
awssmmm movie salman sirrrr super salman sirrrr,2
Beingsalmankhan................. Kaa haa ho yrr...... Aaiieytoh sahi :),1
Kas ma aipka khas friend rahta our aipka karib rahata.kas ma kis.kis ma aip ka kareb hota.mubark ho.aipko roja.,2
Kute begherat khabees benamos kafir k bache teri itni himat,0
per salman g hm aap video chat pe dekhpaenge to aege werna nai her unjan k sath hm chat nahi kersekte,1
happy eid(eid mubarak ho bajarangi bahijaan ),2
bhai hm log wait kar rae h,1
Iss bar BJP ka kutta Muslim pe dhabba aanne wala hai eid k din jaha b ye kutta aayega jute mar k bhagao sale k ghar me ghusu,0
Salman bhai sirf sohrat kamane se kuch hoga. thoda bahut khuda ko bhi yaad kiya karo.mahe ramjaan bada hi pak aur touba karne vala mahina.plz ibadat bhaijaan,0
modi saab ye konsi country hai???,1
Ghar Ghar modi hi modi .Jaha logo ki soch khatm hoti hai modi Ji waha se sochana suru karte hai .,2
Kamal karte ho yr bhai,1
Budha hai salman khan,0
Ramzan ka mahina dil khol kar Ibadat karo,2
Great sir'' jabtak suraz chand rahega modiji ka naam rahega....,2
Comment padh ke thak chuka hu aa ja re bhai,1
Salman Khan se live baat .... mujhy lg raha hai ky khuwab hi hai mera itnay bary star ......or hmsy baat wah.....,1
Hame bula kar khud kahan chale gaye,2
@lwayz ready 4 uh salman sir....,1
soo sweeet song,2
bhaijaan ramzan kese chl rhe hh,1
Aayenge salllu bhai jorror ayenge,1
Nice bhai WHATSAAP number 03101419966 palz,2
Omg aur 30 minuts..,1
Bhii jaan luv u,2
jitne v salman ko gaali de rhe hai. sb owaisi ke dogle hai. sala sb galat msg failata hai owaisi supporters,0
ami salman ke valobasi...i love u SALMAN,2
Swachchh bharat aviyaan ke liye danyabaad....,2
"Namastey sir, Jis tarah ap desh ki halat sudhar rhe h. Usi tarah please hum jese peoples pr bi dhyan dijiye.",1
Allah ap ko apna haveza aman ma rakha,2
salman bhai kaha ho aap replay kuy nahi dayrahay ho,2
kha par bhai,1
Bhaijan kese ho,1
Bhai tumse muje ek baar milna hai lve u bhai jaan,2
bhai aa jao,1
modi sir....you come bihar.because neccessary to bjp government in bihar.......har har modi ghar ghar modi.....,1
BHAI boht acha hy bus aj ki jagah pr eid hona chahye thaeid ki prty meri trafcse .....Jai hoooo bhaii,2
Aapne apna commitment nhi nibhaya Aapka dilouge wrong hai,0
Modi mission : 2 establish world brotherhood...grt man grt thinking @ Modi : a boon 2 earth,2
I trust you so very nice improvement kabhi humne apne pm se nahi bola tha pehli baar hamari baat jaan pa rahi hai mujhe asahi pm hindustan ki zameen pe chahiye tha,2
nahi aayega Yr salman Chalo jagah Khaali karo yaha se :p,0
Yaar frnds aap sabko such mein lagta hai ye salman bhai ki id hai,1
shandar song hai!,2
Salam sucuk sosis salman,1
I wsh u a vry vry hppy eid mubarak.,2
Kamaal karte hoon salman ji aane ka irada hai ya nai,1
i jush hope k wo insaan jald se jald pkra jaye jisne yeh fake pic bnaya ....,0
Ap riyel salmankan hai to sun no ke pahele ye socho ke msalman hai ke nahi hai to akhirat ki fika kar,1
Facebook jaisa Accha chis me ye sab faltu items kyu ata hai kya pata????? Dirty fellow. ..... idiot kahika...... mu dekh lia bash aj ka din e sala kharap jayega.....,0
Roja nehi rakhkar film bana rahahay.... Haaramka khana kha raha hay,0
Sir Ji kabhi roze namaz ki bat b share kr liya kro,1
Kab aaoge aap,1
ek fake salman n cmnt kiya mujhe laga ap ho bhai,0
5 mnt or,1
Hai salman baijaan main aap ka bhot bda fan Maine abki saari pictures dekhi hai lagbhag,2
Uncle! Uncle! har chiz mein religion..religion..kaiko? :-) Quran ho..ya bible.. aap ache hona pata chalta hai..bas... ushme bhi..ye sab ghuser diya kaiko? :-D,2
rafu apko nhi bolna already wo dechyka hota h,0
Aap ki baat hum sab ke sath:-) ;-) :-D,1
being human ka aslee avtaar. salman bhaii aap aur aap kay dad lakhon karoron logon ki duaa letay ho. mashAllah ......subhanAllah. stay blessed always admin aamir ahmed,1
Sal me kam se kum 3 movie kiya kro salman bhai,1
love u bhai jii salman khan,2
bhai jaan plzz come,1
Pls 4 pm se zyada late mat krna Salman Khan,1
ap b piyray ap ka gana b piya ho ga am frm pakistan,1
Bhaiii apko kisi ki jaan bacha hai siriyasli aap agar ye sms padh le to reply karna,1
Sona last time tu jab ayi thi tab kitna kuch kiya bas ab 1 chij bach gya hai tu aa ja jaldi plzzzz,1
every sec. 300 ppl cmnt,1
are salman sir agar mere coment ko padhma to plzzz ek bar reply karna,1
kaha ho vai...kuch batao...kaise ho.....,1
Salman bhai aap to folp hooo jiii,0
"Salman bhai may apke sath India ka garib or khana ,kapra na Milne walo ko apniii puri samata  sey  help karna chah  ta hu.....plzzz help and thora support me plzzz",2
it's 4'o clock,1
wt hapen ab mt bolna 5bje krenge bat,1
yes yes yes aap log sahi bolre ho,2
Modiji to apne desh ko aage le jane ke liye bhut kuch kr rhe hai ab desh ke youngest ko jag ne ki bari hai ..... jay hind,2
Hii bajrangi bhai jaan,1
bhaijaan love yoy,2
Aa bhi jaa sanam â€¦â€¦â€¦ U na kr sitm â€¦â€¦â€¦â€¦ love u salmaan â€¦â€¦â€¦â€¦â€¦plzzz jldi aa jaaao â€¦â€¦â€¦â€¦ :*,2
koi bhi larki fedda ho jaiga app ka upar dekhna app,1
aa jao na....plzzz,1
salman kya hai aam insan hai hamari tarha jo help manga hai allah se mango,1
Bahi ap se 1 sawal,1
Salu bhai awo na.,1
help meee salman khan,1
"ami tomake khub valobasi, i love u bhai jan",2
Jo aap ke sat rat din lga rha,1
Kuc nahi parthe hai bhai salam ka zabab bi nahi date hai,1
i wish meri ye wish puri ho jaye....,1
Salman Bhai jaan hamare dil me basa hei,1
Superhit 800 crores,2
hindustan ke dusre mhatma gandhi nerndr modi jee hai har har modi ghar ghar modi,2
Kis kis ko jawab dungachalo ek lucky draw karta hu,1
Hi salman sir please apse marnese pehale ek echha he ki main pako samnese ekbar dekhu filmo me dakhahe lekin ajatak main apko reall me nahi dekha but apko aur apke family ko ramzan eid ki mubarakbad,1
Reply krdo bhaaaaaaaaaaaaaaaai,2
sirji nhi bat karenge ab,1
P m ji roj yhi khre milte ho,0
"Hamare desh ko aage badhane vale, logo me utsah jagane, narendra modi ji ko bhagvan hamesha khush rakhe.",2
Sala Kafir bahenchod dekhta hu teri movie kaise hit hoti hai . . . . . !,0
bhai 1 reply asssalamalaikum,1
Salman Bhai app ko chada ni raha hu ksm as app ka naam hi Kafi hai,2
salman bhai bhool gye kya,0
Eid Mubarak bhai jaan I miss u i miss u,2
uff mashaalllah killing look bhaijaan,2
salman bhaiya aap shadi kab korogi? me apki shadi ki barat me jana chahta hu,1
Ek zaroori baat he k koi bhi musalmaan bhai salman khan ki (BAJRANGI BHAIJAAN) movie dekhne k liye naa jaae. Us harami ne musalmano ko challenge kiya hai k wo ...,0
Muslim ka nam mat kharab karna salman bhai chahe kuch bhi karo koi tention nahi,0
Hum log Jarur dekhenge aapka movie..,2
raat k 12 bje b kr lenge ...ap aao to sahi,1
Assalaam o alaikum bhai,1
neeraj kutte.kya majato aayega majato aayenga sale kutte,0
bhai kya hal hai,1
4 : 19 ho rhe kha ho bhai,2
Madar chord maa chuda Mumbai mai Hyd dheekha to maacood data tari,0
Khushboo Tripathi fast day kese jyogi,1
"Bhar do jholi meri y Muhammad mujhko Salman sir. S milado, jb tak aap bana d n bigri dr s n jao khli",2
Bhai 4 baj gaye kaha ho jaldi ao,1
Ok tjeek hai nhi aanahai to bta to.do sir,1
dekh liya bhaijaan.. mast h,2
Salman bhai plz mene apna gf ko bola dat u vl Say hello 2 me plz mere ijjat uske sAmne bane rhe uske lye mujhe Hello Ajay bol diye na plzz apka pair parta ha,2
tere muslman hun te lanat hai,0
butiful song evr i fel in luv wiv dis song,2
yr koi bata do salman aaye the ki nahi koi bol raha chat ho gaya but kahan?,1
GUD NYT BHAI,1
Wow bhai jaannnnnnn,2
Love u salmaan khan ji love u so much mithuuuuu...mmuuaahh,2
salman i luv u alot n i wanna meet uh...plzz mjhse milo ya chat kro mjhse plzzzz i luv u ummaahhh,2
Bhai jaan locket badiya a,2
Modi ji aap ko sabhi ne vishvas kiya hai but us par pani phirte dekh rahe hai mp balaghat mai pani ki tenk kitne dino se saf nahi hui hai bahot log bimariyo ke ghere mai sab aap hi thik kar sakte ho,0
I heartly salute you Mr. Prime minister aapka karyakal Bharat varsh ke itihas me savarnim yug sabit Hoga Jai hind,2
jb aana hi ni tha to,0
i love ur film joi ho bhai hope ur flim bajrangi bhaijan,2
"Bhai apki movie apka name pavan kumar ur mera real life m name h pawan kumar, toh m y movie dekhuga hi, motivate JO hona h, ek request h sir aap plz mere dp p like krdo plzz! Movie blockbuster hit toh pakki h!",2
Sir yeh tho sirf aap hi kar sakte hai. Great sir,2
hello sir kaise ho plz reply tou de dou aaj plz sir,1
aapki movie 350 crore kamai karegi,2
ye sabka record todne wali he,2
Aap ko letter b likhy hain shayd ap tk puhnch jaye....,1
Kuch toh baat hai bande mein... jo itne logon k dil me rehta hai....,1
Nice bajrangi bhai. ..,2
kya aap bengali language bol sakte ho?,1
Bharat desh ke liye avatar hai pm modi ji,2
sir ek war baat to krlo please sir,1
nice bhai mai jarur aaunga,2
salman sir aap london kab aao gaye plz aik baar ajoa i want to meet u once in life u are cororo mein aik sir,2
Ek new status pe baat krte haii ;),1
A bhi jao mr.salman kaha ho,1
Haaa bhai hoooo gyi party aaj ki,1
Bhai film hit hoga haters ko mo thod javab denge,2
love uuuu soooo muchhhhhhhhhhh jannatttttttttt,2
"Tension nehi leneka vai,kuch bhi ho jaye,kuch bhi loog kahe hum hamesha aapke saath hay,ek aan,ek shaan ek hamara bhaai Jaan :*just waiting for Bajrangi Bhaaijaan :)Love and Respect From Bangladesh..............",2
bhai plz 1 br bat kr lo,1
Favourite salman khan bhai eid mubarak ho,2
Salman khan sir suna ha ap PAKISTAN ah rahy ha,1
Sir aapne reply nahi kiya !!,0
Sala kutta kamena amara time west kara tia salman,2
Reply bhai jaldi aao,2
Bhaijan watsaap pe aapke bare ma jo chal raha ha wo jhoot ha na.plz reply must,1
Bhai 4 bajgaye yr.... Ek baar plz,1
hilo kiya aap happy ho,1
sir ji ye achi bat nhi he ki aap apne fan se majak kre,1
hi salman Bajrangi bhaijan,1
Suprab my jaan salman khan,2
apka big fan me bangladesh me plz cal met u +8801719447771 plz cal sallu bhai met u fan,2
hello sar g keshe ho aap,1
Hey koi meri sister ko pareshan mat karo,0
Oh jalwa jaha bhi hoga baha bhi hoga kya aapka hi jalwa jalwa jalwa,2
Aajo ji ab,1
Theek hai bhai bahut hua ~~,1
sabki aan sabki shaan ek humra bhayi jaan salman khan . Best of luck for film salu,2
salman khan u r my god father...agr aap na hotey aaj m kuch na hota..,2
Vikas ke liye govt ko kathor niym banana chahiye,1
Abhi kro na bajrngi bhaijan. .,1
sir 4 baje se lgi hue hu kuch to rpy kr do,1
Kamal ki movie hai kasam se dhum macheg dhum..Salman sir....i love you.<3,2
Kya khismat hai yaar bande ..ki hazaron .. croro .. log ... marte hai bande par,2
Muslim brothers sisters plz salman khan ko unlike karo aor lanat bhejo salman khan pr salman khan hindu higaya hai islo ezzat mat do bezaty karo Allah ki lanat hu is bodhy baba par,0
faddu trailer bhaijaan. ...,2
bhai kha hai aap,1
Sale salman khan abki dekhna hai ki teri pic kaise hit hogi bina muslim ke sale tum log muslim per daag ho,0
Salman ek baar jawab to do yaar,1
Baat na bani....,0
awsome song bhaijan...,2
Jo gau hatya band ni kar sakta woh hamare kam ka nehi,0
bhai ap mjhe chnce nhi dena bt humre liye liye rply kr do bhai,1
hum to aapka swagat krne ke liye kb se aaye hue hai pr aap hi nhi aa rehe,2
sandhya slman bat nai karega,1
Modi ji agar 10 sal pahle pm bane hote to aaj india ki tasbeer dusari hoti sayad india china ke barabar me hota.,2
Bhai aap kha baat krogge,1
I don't like salman khan madharchod randy ka ladka harami kafir,0
ramzaan or eid mubbark ho salman bhai 8863960135 mai aap ka wait,2
Salman bhai s phon no looo yarrrrr,1
ppp model chirman in rajesthan is lalit modi,1
mai life me kya karna chahti hun tumse sadi karne ke alawa,2
"jumme ka din hai, chatting ki baat hai. allah bachaye mujhe, fake pages se.",1
meri bas ek dua hai ek bar mujhe milna hai apne bhaijan se,1
Nhi aane wale aap pta h. Sbko hhahah,1
pls all frendns wach an the movie bhai ne Yeh harare liya present kiya sab log pls Yeh film dekha yaaya,2
Wo is tarah ki pics iss liye share kar raha hai apni film anay wali hai us ko jo promote karna hai,1
Sala khutta bajrangi bana hova kuch to sharm kr?,0
Salman bhai bharosa hai aap par..,1
Dost apki har ada achi lagti h,2
Shadi kr lo wrna firr na hogi,1
bhaiyya maine bahut intzar kiya lagta hai aap jayada busy hai koi bat nai kal jarur reply karna kal school ki chhuti b hai pls bhai,2
#Pandey ji kaha h app hum log kb se wait kar rahe h ap k #swagat k liye,1
Tanik kaisen ho,1
as salamolay kum vai jan,2
salman bhai jan,2
Muje aap bhout aache lagkte hai bachpan se dekti aa rai hu or marte dam tak dekungi i am a big fan. . . . 4rm nepal,2
"Ied mubarak ho salmaan g.khuda se dua hai,aapki ye movie bhi badi hit ho,aapki last movis ki tarah.",2
galti tum kar rahe ho aur saja mujhe mil rha hai,0
1hr se ziyada hogaya bhai ki khabr nai hai,1
Eid 2015 Hum sath sath bajrangi bhaijaan.,2
Kis bewakuf ne apko yeh bola ki ....Apne fans ko iss tarh se wait karao2 thappad meri tarf se bajrangi bhaijaan padne chye usey jo aysi bekar muft me raye deta hay,0
Agr replay nhi diya to me maggy khalunga,0
Sir sare pagal ho jye gye jaldi aaa jao,1
wait na karao bhai.. jaldi se aa jao,1
Tere lahor se mahga hamara gav h be ja apna kam kar,0
In logo pr itna tym kha jo hmse bt kre,1
Bhai jaan . aa bhi jao ..,1
jai ho bharat ki,2
Abe tu ye sab kisse bat kar rhi hai yar,1
Jai hind jai bharat mata ki jai,2
Bhai ji aap to kamaal ho,2
Salman sir. Aapki life ke 2 mint meri life anek mint me khushya la sakte he plz sir. Mil lijiye,2
hello #salman #khan,1
Kaise kahe rahi ho ki oh fake tha,0
"yes,boss main toh apki film dekne keliye kis tara se behtab ho rahi hu bata nehi sakti <3",2
Extremist prick with hateful ideologies and hostile intentions towards neighbors. Ultimate dueschbag.,0
Apne aqirat ki fiqar karo wanha kon bachega sirf allha tobakarle nada,0
mujhe lag rha h koi admin ham sab ko dhokha de rha h..,1
movie to hit tio hogi sure bhai ki movie wo v eidd pe,2
Akdam kick ke jesa,2
sab ka bhai hamara sallu bhai,2
jab 1 lakh ppl love u love u likhenge how will u reply poor u,2
desh aapko pakar dhanya hua the iron man,2
Bhai 4 baj gye h,1
